fecha,punto,pixel,latitud,longitud,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,sol_sus
2024-05-20,2,3x3,-27.4652135,-58.8669696,0.1245131944444444,0.1444,0.1835222222222222,0.2291111111111111,0.2353125,0.1806569444444444,0.1832354166666666,0.1760555555555555,0.1032159722222222,0.1027166666666666,0.1521006944444444,105.99999999996614
2024-05-20,3,3x3,-27.4662499,-58.8655555,0.1227034722222222,0.1449333333333333,0.1834777777777778,0.2244888888888888,0.2270013888888888,0.1735986111111111,0.1746861111111111,0.1646333333333333,0.1007083333333333,0.1016361111111111,0.1445770833333333,95.99999999998944
2024-05-20,4,3x3,-27.4673687,-58.8642187,0.11746875,0.1397777777777777,0.1788777777777777,0.2160888888888888,0.2105659722222222,0.1566208333333333,0.15843125,0.1516,0.1013972222222222,0.1016104166666666,0.1329534722222222,78.99999999999352
2024-05-20,5,3x3,-27.4692696,-58.8628216,0.1214104166666666,0.1394,0.1772888888888888,0.2095333333333333,0.20513125,0.1475194444444444,0.1475875,0.1408222222222222,0.1007923611111111,0.1017541666666666,0.1252034722222222,74.0000000000407
2024-05-20,6,3x3,-27.4704693,-58.8615767,0.11856875,0.1346222222222222,0.1718111111111111,0.1982111111111111,0.1905868055555555,0.1365236111111111,0.1365979166666666,0.1317444444444444,0.1017138888888889,0.1015465277777777,0.1211125,71.9999999999743
2024-05-20,7,3x3,-27.4721863,-58.8598219,0.1168041666666666,0.1341222222222222,0.1721444444444444,0.1943111111111111,0.1808298611111111,0.1277222222222222,0.1279875,0.1239222222222222,0.1012666666666666,0.1023694444444444,0.1137888888888889,66.99999999995043
2024-05-20,8,3x3,-27.4732325,-58.8579279,0.1149576388888889,0.1321111111111111,0.1709777777777777,0.1850111111111111,0.170975,0.1219,0.1228597222222222,0.1178888888888888,0.1022277777777777,0.1033881944444444,0.1091736111111111,65.99999999998829
2024-05-30,1,3x3,-27.4651438,-58.8688526,0.1221555555555555,0.1446,0.1840444444444444,0.2276222222222222,0.2331111111111111,0.1769222222222222,0.1772111111111111,0.1689666666666666,0.1052555555555555,0.1044555555555555,0.1487888888888889,111.99999999995214
2024-05-30,2,3x3,-27.4656234,-58.866683,0.1245888888888888,0.1448777777777777,0.1836222222222222,0.2266222222222222,0.2321111111111111,0.1748222222222222,0.1766111111111111,0.1651222222222222,0.1018888888888888,0.1023555555555555,0.1423555555555555,103.00000000000864
2024-05-30,3,3x3,-27.4674984,-58.8652638,0.1246555555555555,0.1415222222222222,0.1817777777777778,0.2169777777777777,0.2173111111111111,0.1570333333333333,0.1560777777777778,0.1465777777777777,0.0999,0.1006666666666666,0.1297,82.9999999999842
2024-05-30,4,3x3,-27.4698467,-58.8635679,0.1238111111111111,0.1398444444444444,0.1797111111111111,0.2056444444444444,0.1957111111111111,0.1357777777777777,0.1367222222222222,0.1294666666666666,0.1004222222222222,0.1009333333333333,0.1168777777777778,72.00000000004536
2024-05-30,5,3x3,-27.4708793,-58.8624132,0.1218666666666666,0.1403888888888889,0.1793111111111111,0.1995111111111111,0.1854222222222222,0.1303444444444444,0.1282333333333333,0.1239,0.1007666666666666,0.1012444444444444,0.1136222222222222,67.99999999998363
2024-05-30,6,3x3,-27.4730282,-58.8606735,0.1196666666666666,0.1369444444444444,0.1777555555555555,0.1908555555555555,0.1720555555555555,0.1227,0.1203222222222222,0.1167444444444444,0.1003333333333333,0.1012888888888888,0.1101888888888888,63.99999999999295
2024-05-30,7,3x3,-27.473469,-58.8593196,0.1203666666666666,0.1362,0.1766777777777778,0.1849333333333333,0.1657333333333333,0.1177222222222222,0.1166777777777777,0.1141777777777777,0.1012666666666666,0.1010111111111111,0.1065333333333333,61.99999999999762
2024-05-30,8,3x3,-27.4742076,-58.8576185,0.1137888888888889,0.1352555555555555,0.1761444444444444,0.1815222222222222,0.1596111111111111,0.1171555555555555,0.1158666666666666,0.1129222222222222,0.1035666666666666,0.1031888888888888,0.1065444444444444,58.99999999996908
2024-12-16,1,3x3,-27.4644894,-58.868234,0.2801215277777777,0.2931555555555555,0.3666222222222222,0.4303333333333333,0.4733826388888889,0.3784472222222222,0.3915743055555555,0.3363555555555556,0.2801520833333333,0.2872534722222222,0.3450722222222222,115.99999999994282
2024-12-16,2,3x3,-27.4653045,-58.8676694,0.2179645833333333,0.2473111111111111,0.3110888888888888,0.375,0.3867451388888889,0.2933333333333333,0.2976569444444444,0.2750222222222222,0.1485770833333333,0.1430236111111111,0.2461833333333333,95.00000000002728
2024-12-16,3,3x3,-27.4661351,-58.8663692,0.2123381944444444,0.2460888888888888,0.3090666666666666,0.3640222222222222,0.37245,0.2726340277777778,0.2775652777777778,0.2549111111111111,0.1501694444444444,0.1461340277777778,0.2244270833333333,75.00000000000284
2024-12-16,4,3x3,-27.4676448,-58.8653543,0.1933979166666666,0.1985444444444444,0.2538,0.2858888888888888,0.28283125,0.1884666666666666,0.1890458333333333,0.1755888888888888,0.131575,0.1301298611111111,0.1589083333333333,58.00000000000693
