latitud,longitud,valor,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
-27.4684081,-58.8645091,45.99999999996385,0.17215590277777776,0.17815,0.22567777777777775,0.2285222222222222,0.21847187499999998,0.15823437499999998,0.15902326388888888,0.14881666666666665,0.1367864583333333,0.1336177083333333,0.14690416666666664
-27.4680565,-58.8648886,101.0000000000133,0.14972152777777775,0.16672777777777775,0.19721111111111111,0.22365555555555555,0.21839166666666665,0.1592302083333333,0.1632861111111111,0.1511222222222222,0.1142517361111111,0.11296875,0.13972256944444444
-27.4679387,-58.8634207,66.99999999995043,0.18280243055555556,0.21768888888888885,0.2488333333333333,0.25787777777777776,0.24667569444444443,0.195059375,0.1943,0.18327777777777782,0.1739222222222222,0.1695677083333333,0.18257465277777774
-27.4676448,-58.8653543,58.00000000000693,0.1934083333333333,0.19742222222222222,0.2529,0.2842444444444444,0.28135937499999997,0.1867958333333333,0.18711041666666667,0.1729444444444444,0.13054375000000001,0.12903993055555557,0.15755104166666664
-27.4674984,-58.8652638,82.9999999999842,0.12467777777777775,0.14076111111111111,0.18183888888888888,0.21748888888888884,0.21740555555555555,0.15726666666666667,0.1560888888888889,0.14643888888888884,0.09985,0.1006333333333333,0.1297
-27.4673687,-58.8642187,78.99999999999352,0.117353125,0.13978888888888885,0.17828888888888883,0.2170444444444444,0.2121017361111111,0.15745104166666665,0.15915,0.1517,0.1014173611111111,0.1015489583333333,0.1335767361111111
-27.4664385,-58.8652232,71.9999999999743,0.18640104166666666,0.20756666666666665,0.23493888888888886,0.24737777777777775,0.23589479166666666,0.18795,0.1849517361111111,0.17837777777777775,0.16616319444444438,0.1615625,0.17451493055555556
-27.4663034,-58.8667293,150.00000000000568,0.14991527777777774,0.1704888888888889,0.20218888888888886,0.2429444444444444,0.24714201388888885,0.18668506944444446,0.18776979166666663,0.1756722222222222,0.11404618055555554,0.11112083333333331,0.1593177083333333
-27.4662499,-58.8655555,95.99999999998944,0.1227142361111111,0.14536666666666664,0.1844888888888889,0.2251444444444444,0.2268725694444444,0.17382430555555556,0.17492430555555555,0.16461666666666663,0.10075104166666665,0.10159930555555555,0.14468854166666667
-27.4661351,-58.8663692,75.00000000000284,0.21230972222222222,0.2474444444444444,0.30943333333333334,0.3636111111111111,0.37384062500000004,0.2735857638888889,0.2788107638888889,0.25445555555555555,0.15095034722222223,0.14661076388888888,0.22527604166666665
-27.4658444,-58.8678045,82.9999999999842,0.19095625,0.2001,0.2280222222222222,0.24458888888888886,0.2446534722222222,0.19577743055555555,0.19826006944444446,0.1829722222222222,0.1729951388888889,0.16738229166666663,0.183003125
-27.4656234,-58.866683,103.00000000000864,0.1245944444444444,0.14453888888888883,0.1835611111111111,0.2261111111111111,0.23210555555555556,0.1749111111111111,0.17675555555555555,0.1650611111111111,0.1019444444444444,0.10247777777777775,0.14217777777777774
-27.4653045,-58.8676694,95.00000000002728,0.21800416666666667,0.24685555555555555,0.3116444444444444,0.3758,0.3871850694444444,0.2930291666666667,0.2972722222222222,0.2748111111111111,0.14863541666666666,0.14290243055555554,0.24616666666666664
-27.4652393,-58.8678377,97.99999999998477,0.2172569444444444,0.26886666666666664,0.3291222222222222,0.39349999999999996,0.4006899305555556,0.30670138888888887,0.31047395833333336,0.29173333333333334,0.1563940972222222,0.15088333333333334,0.2571559027777778
-27.4652135,-58.8669696,105.99999999996614,0.1245128472222222,0.14400000000000002,0.18356111111111112,0.22885555555555553,0.23535625,0.1808565972222222,0.1832333333333333,0.17657777777777775,0.1032642361111111,0.1028052083333333,0.1522659722222222
-27.4651438,-58.8688526,111.99999999995214,0.12197777777777775,0.1457,0.1845222222222222,0.2276111111111111,0.23320555555555555,0.1768611111111111,0.17715555555555557,0.1696333333333333,0.10517777777777776,0.10427777777777775,0.14889444444444444
-27.4647485,-58.8682645,86.00000000001273,0.2199253472222222,0.2188222222222222,0.23512222222222218,0.2543777777777778,0.2507395833333333,0.2089732638888889,0.21120590277777776,0.19666111111111112,0.19098437499999998,0.18840381944444445,0.19653680555555555
-27.4646869,-58.8680469,197.99999999996487,0.16151666666666664,0.17082777777777775,0.2077222222222222,0.25095555555555554,0.2578572916666666,0.2021725694444444,0.20749513888888887,0.1938611111111111,0.11875868055555555,0.11509965277777776,0.173103125
-27.4644962,-58.8680573,110.00000000002784,0.1451263888888889,0.14689444444444444,0.18706111111111112,0.23328888888888885,0.23879027777777775,0.18708611111111112,0.18874305555555554,0.17790555555555554,0.1219329861111111,0.12156805555555555,0.15867048611111112
-27.4644894,-58.868234,115.99999999994282,0.28193888888888885,0.28627777777777774,0.3484111111111111,0.41896666666666665,0.48025069444444446,0.3783454861111111,0.3958746527777778,0.3250777777777778,0.28398541666666666,0.2906798611111111,0.3483173611111111
